name,nfeat,avg,se,m24,s24,m22,s22
blend_s0_c6_w0.1,,761.1496068069656,,821.3412506911654,,700.9579629227658,
blend_s0_c6_w0.2,,756.8520792516631,,822.4324781540005,,691.2716803493257,
blend_s0_c6_w0.3,,736.6450383921197,,806.4814756234883,,666.808601160751,
blend_s0_c4_w0.05,,752.9034093781695,,808.2047801959425,,697.6020385603965,
blend_s0_c4_w0.1,,754.4061394206881,,811.5142405340503,,697.2980383073258,
blend_s0_c4_w0.2,,751.2977639992091,,812.468319190085,,690.1272088083332,
blend_s0_c4_w0.3,,740.0723821095912,,805.8851764634722,,674.2595877557101,
blend_s0_c5_w0.05,,753.7709222479261,,809.3854525327848,,698.1563919630673,
blend_s0_c5_w0.1,,756.6598408190073,,814.3466615441408,,698.9730200938737,
blend_s0_c5_w0.2,,757.8917954143117,,820.0413185223243,,695.7422723062989,
blend_s0_c5_w0.3,,753.0754886909519,,820.1009484383293,,686.0500289435745,
blend_s0_c3_w0.05,,750.61703815969,,805.99251031227,,695.2415660071099,
blend_s0_c3_w0.1,,749.8006115415512,,807.083737775105,,692.5174853079974,
blend_s0_c3_w0.2,,742.0092135757006,,803.5834617057924,,680.4349654456088,
blend_s0_c3_w0.3,,726.0471686452051,,792.5817422034464,,659.512595086964,
blend_s1_c5_w0.05,,749.4486045360959,,805.34850721945,,693.5487018527419,
blend_s1_c5_w0.1,,746.3222993968177,,806.0461772366745,,686.598421556961,
blend_s1_c5_w0.2,,730.4808489068005,,802.510123217759,,658.4515745958419,
blend_s1_c5_w0.3,,701.8999837592132,,792.4326674134452,,611.3673001049813,
blend_s0_c0_w0.05,,751.3590374990442,,805.34850721945,,697.3695677786385,
blend_s0_c0_w0.1,,751.2786637460856,,805.8732504802713,,696.6840770118998,
blend_s0_c0_w0.2,,744.9355735011432,,801.4844886625294,,688.3866583397569,
blend_s0_c0_w0.3,,730.3622746475946,,789.8447290589528,,670.8798202362365,
blend_s0_c9_w0.05,,750.7272411857614,,805.6049158582601,,695.8495665132625,
blend_s0_c9_w0.1,,749.755816427855,,806.6007354554982,,692.9108974002119,
blend_s0_c9_w0.2,,740.8498929173113,,803.869685302605,,677.8301005320176,
blend_s0_c9_w0.3,,722.6707889503525,,794.7880490955183,,650.5535288051867,
blend_s0_c1_w0.05,,752.2264589723382,,806.0342512534735,,698.4186666912029,
blend_s0_c1_w0.1,,753.1299204718177,,808.2107431875429,,698.0490977560927,
blend_s0_c1_w0.2,,749.0262529097624,,810.0294556256049,,688.02305019392,
blend_s0_c1_w0.3,,737.1163063307429,,808.4611888347526,,665.7714238267331,
