name,nfeat,avg,se,m24,s24,m22,s22
기준선(현 제출 v2),98.0,747.965907092614,1.9933810898111881,801.5784057802317,3.581123680316409,694.3534084049962,1.7520918535123724
+ 다중축소강도,106.0,754.0576429066261,1.9627320033437927,808.6147358684598,3.4862302228116047,699.5005499447925,1.8042911354198636
+ 시즌별 능력이력,122.0,744.3835729435091,1.1652597209408198,802.1210380158489,1.9215104337797784,686.6461078711694,1.318756430074848
+ 이력 + 다중축소,130.0,752.6869669456385,2.1373977638720976,810.2694660375109,4.2427897825676295,695.104467853766,0.5221222701259715
blend_s0_c2_w0.05,,751.1651554825527,,804.5017624122241,,697.8285485528812,
blend_s0_c2_w0.1,,751.1861030345012,,804.9609127654401,,697.4112933035625,
blend_s0_c2_w0.2,,745.8954940209372,,802.7486428817676,,689.0423451601068,
blend_s0_c2_w0.3,,733.5137608559417,,796.3920938359626,,670.6354278759208,
blend_s0_c7_w0.05,,749.0366714020313,,801.8899720913408,,696.1833707127219,
blend_s0_c7_w0.1,,745.2865663362895,,797.7278039544067,,692.8453287181724,
blend_s0_c7_w0.2,,727.6185651375445,,780.3874243810571,,674.8497058940317,
blend_s0_c7_w0.3,,696.5097665965536,,751.1449135737203,,641.874619619387,
blend_s1_c0_w0.05,,748.6468178145633,,805.0205426814449,,692.2730929476817,
blend_s1_c0_w0.1,,746.4950576754226,,805.4796930346608,,687.5104223161843,
blend_s1_c0_w0.2,,738.0121971419406,,801.9197870493433,,674.104607234538,
blend_s1_c0_w0.3,,723.93700519503,,792.3432225394378,,655.5307878506222,
blend_s0_c8_w0.05,,749.1590723983421,,802.9990885289773,,695.319056267707,
blend_s0_c8_w0.1,,747.6388090563889,,801.5798965281373,,693.6977215846407,
blend_s0_c8_w0.2,,740.6753298340063,,794.662826271908,,686.6878333961046,
blend_s0_c8_w0.3,,728.5160118908008,,782.2717297267135,,674.760294054888,
blend_s1_c2_w0.05,,754.1496371830991,,810.4945689704213,,697.804705395777,
blend_s1_c2_w0.1,,755.7896470707093,,814.7879229225553,,696.7913712188633,
blend_s1_c2_w0.2,,749.7303451031834,,813.9232891405279,,685.5374010658388,
blend_s1_c2_w0.3,,731.2404718408883,,800.4648170989004,,662.0161265828762,
blend_s1_c6_w0.05,,753.0433260553249,,807.3282204307142,,698.7584316799356,
blend_s1_c6_w0.1,,754.5131594382915,,810.0294556256049,,698.996863250978,
blend_s1_c6_w0.2,,750.8741999933843,,810.5840138444175,,691.1643861423511,
blend_s1_c6_w0.3,,738.4597606698851,,804.6508372022365,,672.2686841375336,
blend_s1_c4_w0.05,,749.8210448507958,,804.7581710510343,,694.8839186505573,
blend_s1_c4_w0.1,,746.3638619497559,,805.1636544798457,,687.5640694196661,
blend_s1_c4_w0.2,,727.7596417895993,,801.9317130325443,,653.5875705466543,
blend_s1_c4_w0.3,,693.7070484783592,,793.3509681198658,,594.0631288368526,
blend_s1_c3_w0.05,,755.6072131330693,,811.37709172725,,699.8373345388886,
blend_s1_c3_w0.1,,759.3844104340997,,816.9942298146271,,701.7745910535722,
blend_s1_c3_w0.2,,759.587642165649,,820.0532445055253,,699.1220398257725,
blend_s1_c3_w0.3,,750.072792071621,,812.3073184168827,,687.8382657263593,
blend_s0_c6_w0.05,,757.2648576270269,,814.3287725693393,,700.2009426847144,
