name,m24,m23
기준 현행,737.0330344046439,558.4867217170441
l2_200,772.7550976209141,557.3924945984298
l2_500,765.7293328151571,567.2730540610904
rand_str5,767.5813684296817,528.4653073270196
bagtemp2,809.3554770298273,640.1162532188142
border64,775.0767281833104,533.4601837817643
l2_200+d4,813.2117780499937,630.5936299008108
