name,nfeat,avg,se,m24,m22
v6 기준,114,756.4774764748072,1.4834887641800154,811.3126914179669,701.6422615316476
G1 경험상호작용,126,755.2912099454368,1.0390432691820501,807.7086592948101,702.8737605960634
G2 상황상호작용,132,757.2985833209289,1.884340220722043,806.5148683764534,708.0822982654045
G3 등판내붕괴,120,755.9405601300141,1.0805212819179562,808.9012576148514,702.9798626451767
G1+G2,144,756.658116619371,1.332692524036126,805.0098092965619,708.3064239421799
G1+G3,132,754.5007171400508,1.441022910331175,803.98178954469,705.0196447354117
G2+G3,138,756.782717156389,1.3794302447546574,805.1183357436864,708.4470985690916
G1+G2+G3 전체,150,756.8839640227377,1.507897243118643,804.6496446039121,709.1182834415633
양수그룹만(1),132,757.2985833209289,1.884340220722043,806.5148683764534,708.0822982654045
