name,nfeat,m24,m22,avg
기준 v7,120,822.8439245744123,697.5781954032923,760.2110599888523
G1 최근성가중,147,826.7437210809359,698.5438432659973,762.6437821734667
G2 커리어축소,136,825.4437889120946,698.5676864231016,762.0057376675982
G3 콜드스타트,126,821.2577688087697,697.6556856638782,759.456727236324
G1+G2,163,828.5147295861939,702.5673760272743,765.5410528067341
G2+G3,142,825.9267912317125,699.0683927222907,762.4975919770015
G1+G2+G3,169,826.9703147617436,701.2440808080167,764.1071977848801
양수그룹만(2),163,828.5147295861939,702.5673760272743,765.5410528067341
