shard,ci,solo24,solo22,solo,best_w,gain,iset,k,h,L,plr,emb,wd,lr,drop
0,0,410.9800947491915,0.0,205.49004737459575,0.15,-19.52960153772665,A_raw,8,512,2,True,0,0.01,0.002,0.1
0,1,553.1557034725631,114.66069052792349,333.9081970002433,0.15,4.928508358664715,C_full,64,512,2,False,4,0.001,0.002,0.1
0,2,123.04511935075091,0.0,61.522559675375454,0.15,-27.24699176754882,A_raw,32,128,2,False,4,0.001,0.002,0.1
0,3,419.8649522334841,81.65580030689013,250.7603762701871,0.15,0.29388963500019827,C_full,32,256,2,False,4,0.01,0.002,0.1
0,4,258.0114712294912,0.0,129.0057356147456,0.15,-44.3288458173152,A_raw,8,128,2,True,4,0.001,0.002,0.1
0,5,427.2232838681167,155.3192341792964,291.27125902370653,0.15,-9.041547659016658,B_raw_d,64,256,2,True,4,0.001,0.002,0.1
0,6,655.0990078694308,305.0900255272437,480.09451669833726,0.15,-10.399645198250198,B_raw_d,32,128,2,False,0,0.001,0.002,0.1
0,7,435.74439886479024,27.92524577333033,231.8348223190603,0.15,0.32421332989417806,C_full,8,512,2,False,4,0.001,0.002,0.1
0,8,493.4423055882431,208.14970953219049,350.79600756021676,0.15,-6.5617800365458265,B_raw_d,32,512,2,True,4,0.01,0.002,0.1
0,9,717.6567527470423,354.71955703894054,536.1881548929914,0.15,-7.129003768296911,B_raw_d,8,512,2,True,0,0.01,0.002,0.1
0,10,246.27034076870612,0.0,123.13517038435306,0.15,-32.52908684810433,A_raw,64,128,2,True,4,0.001,0.002,0.1
0,11,663.2563803784964,308.0584985866719,485.6574394825841,0.15,-7.165123078156682,B_raw_d,32,128,2,False,4,0.001,0.002,0.1
0,12,466.85928903459353,0.0,233.42964451729677,0.15,-7.589264092922008,C_full,32,128,2,False,4,0.01,0.002,0.1
0,13,467.42577323660714,318.8832919118312,393.15453257421916,0.15,-14.017024374185553,B_raw_d,8,128,2,True,0,0.01,0.002,0.1
0,14,541.7365745581936,246.22127063779197,393.9789225979928,0.15,-12.78458967220456,B_raw_d,32,128,2,True,4,0.001,0.002,0.1
0,15,713.6257704253079,284.21534148280745,498.9205559540577,0.15,-5.492906959636571,B_raw_d,8,512,2,False,0,0.01,0.002,0.1
0,16,63.34364744964294,0.0,31.67182372482147,0.15,-26.03670047956473,A_raw,64,128,2,False,4,0.01,0.002,0.1
0,17,288.2319126592536,0.0,144.1159563296268,0.15,-30.734173520657862,A_raw,32,256,2,False,4,0.001,0.002,0.1
0,18,98.40007506716208,0.0,49.20003753358104,0.15,-24.06658694715793,A_raw,32,512,2,True,4,0.001,0.002,0.1
0,19,490.8185892841588,100.97471835029958,295.8966538172292,0.15,-5.7742896490353814,B_raw_d,64,256,2,False,4,0.001,0.002,0.1
0,20,369.81160074147647,0.0,184.90580037073823,0.15,-1.875426927983085,C_full,32,512,2,True,4,0.01,0.002,0.1
0,21,379.73998175578896,0.0,189.86999087789448,0.15,-21.268310213290476,A_raw,8,512,2,False,0,0.01,0.002,0.1
0,22,232.45408923107112,0.0,116.22704461553556,0.15,-24.78174511617584,A_raw,32,256,2,True,4,0.01,0.002,0.1
0,23,437.1516648824403,0.0,218.57583244122014,0.15,-23.108557772671986,A_raw,32,512,2,False,0,0.001,0.002,0.1
0,24,360.6166676939804,0.0,180.3083338469902,0.15,-27.46652019348653,A_raw,64,256,2,False,0,0.001,0.002,0.1
0,25,662.5527473696712,149.0007975467722,405.7767724582217,0.15,-6.9872827376415785,B_raw_d,64,128,2,False,4,0.01,0.002,0.1
0,26,663.6022338913028,0.0,331.8011169456514,0.15,4.579621595435242,C_full,8,256,2,True,0,0.01,0.002,0.1
0,27,613.1016580292803,397.3213179942814,505.21148801178083,0.15,-10.491925113492755,B_raw_d,32,128,2,True,0,0.01,0.002,0.1
0,28,453.33522408536055,0.0,226.66761204268028,0.15,-29.161172183927988,A_raw,64,128,2,False,4,0.001,0.002,0.1
0,29,49.4618030043914,0.0,24.7309015021957,0.15,-27.823762773582246,A_raw,64,256,2,True,0,0.01,0.002,0.1
0,30,0.0,0.0,0.0,0.15,-30.588869759690112,A_raw,32,512,2,True,0,0.01,0.002,0.1
0,31,601.1100819212967,393.5719815396976,497.34103173049715,0.15,-3.384676698930946,C_full,32,256,2,False,0,0.01,0.002,0.1
0,32,457.1753906758791,239.55710822726184,348.36624945157047,0.15,0.6335654296029816,C_full,64,128,2,True,0,0.01,0.002,0.1
0,33,524.2232682284298,0.0,262.1116341142149,0.15,6.487609328531562,C_full,32,256,2,True,4,0.001,0.002,0.1
0,34,237.123111654014,0.0,118.561555827007,0.15,-23.967851820855287,A_raw,64,256,2,True,4,0.001,0.002,0.1
0,35,582.1537316242908,393.7210012715964,487.9373664479436,0.15,-11.958801226225091,B_raw_d,64,512,2,False,0,0.001,0.002,0.1
0,36,571.3189758867476,326.70980823117367,449.01439205896065,0.15,2.847006949757713,C_full,32,512,2,False,4,0.01,0.002,0.1
0,37,352.85881562213683,218.69434576137215,285.7765806917545,0.15,-10.755478290847009,B_raw_d,8,128,2,False,4,0.001,0.002,0.1
0,38,342.3102834813951,0.0,171.15514174069756,0.15,-25.853804053838076,A_raw,64,256,2,False,4,0.01,0.002,0.1
0,39,439.8648260605209,0.0,219.93241303026045,0.15,-17.663712623522372,A_raw,8,256,2,True,0,0.001,0.002,0.1
0,40,650.3882445052844,175.21038799319655,412.7993162492405,0.15,3.354744367789465,C_full,64,512,2,True,0,0.01,0.002,0.1
0,41,536.0717325380126,156.32064677765234,346.19618965783246,0.15,-3.9167351784163884,B_raw_d,64,512,2,False,4,0.01,0.002,0.1
0,42,298.8162227495983,0.0,149.40811137479915,0.15,-31.017044530040607,A_raw,64,256,2,False,0,0.01,0.002,0.1
0,43,624.5088609604488,127.73270141012149,376.1207811852852,0.15,1.011007872575533,C_full,8,128,2,True,4,0.01,0.002,0.1
0,44,302.70409327292083,65.95508135399663,184.32958731345872,0.15,1.3136695637184062,C_full,8,128,2,True,0,0.01,0.002,0.1
0,45,38.018822123631054,127.17834800745065,82.59858506554085,0.15,6.462543881480258,C_full,32,128,2,True,0,0.001,0.002,0.1
0,46,569.7566720874958,63.856883528856656,316.8067778081762,0.15,-4.560448665608135,B_raw_d,64,512,2,True,4,0.001,0.002,0.1
0,47,552.7859979933436,0.0,276.3929989966718,0.15,1.7711164191469493,C_full,64,512,2,True,4,0.001,0.002,0.1
0,48,636.834364598049,125.75968015977601,381.2970223789125,0.15,3.3744784390943323,C_full,32,512,2,True,0,0.001,0.002,0.1
0,49,509.20845537915096,109.52845096131591,309.36845317023347,0.15,-16.58557617340017,B_raw_d,32,512,2,True,0,0.001,0.002,0.1
0,50,273.9266958104003,0.07047748673549847,136.9985866485679,0.15,1.6757360826014178,B_raw_d,32,512,2,False,4,0.001,0.002,0.1
0,51,607.7468915723139,457.8829370381121,532.814914305213,0.15,4.805544668517996,C_full,8,512,2,True,0,0.01,0.002,0.1
0,52,481.39706255585503,42.10000267157454,261.7485326137148,0.15,4.282911884267946,C_full,32,256,2,True,4,0.01,0.002,0.1
0,53,654.9380070962285,332.8434603961483,493.8907337461884,0.15,-5.090853199601895,B_raw_d,8,256,2,False,0,0.01,0.002,0.1
0,54,471.075124095921,361.03799367146473,416.0565588836929,0.15,-3.416481456863778,C_full,32,128,2,False,4,0.001,0.002,0.1
0,55,405.74458812422387,0.0,202.87229406211193,0.15,-18.56734480312764,A_raw,8,256,2,True,0,0.01,0.002,0.1
0,56,341.91672603578473,122.92234446441563,232.41953525010018,0.15,-0.2109583336462606,C_full,64,128,2,False,0,0.001,0.002,0.1
0,57,370.52715973350246,0.0,185.26357986675123,0.15,-21.486972024642455,A_raw,64,128,2,False,0,0.01,0.002,0.1
0,58,475.9349622500797,87.49737379734057,281.7161680237101,0.15,-7.375226260047953,B_raw_d,32,256,2,True,4,0.01,0.002,0.1
0,59,374.6058459880297,0.0,187.30292299401486,0.15,-25.809126764481107,A_raw,64,512,2,True,4,0.001,0.002,0.1
