name,nfeat,avg,se,m2024,s2024,m2023,s2023
기준선 S1+S2,98,771.3959711808461,1.9895103258415074,797.455318464711,3.200918219780118,745.3366238969813,2.363626006118482
T1 구종별커맨드,110,768.4043183861033,1.6888050601684081,796.5460711725848,2.825170459897505,740.262565599622,1.851124522425275
T2 구종내릴리스산포,102,768.8117385431411,2.365016423628895,794.2887177734725,2.9321618979236184,743.3347593128098,3.7115545719418703
T3 등판내구속저하,102,771.0685288840168,2.514603385875677,796.2427046908606,3.4516414383056992,745.8943530771732,3.6577441318934043
T4 압박시위축,101,769.4951291319069,1.803857161105998,796.664520444942,2.0092930211149684,742.3257378188719,2.99638852387207
T5 무브먼트x비중,102,770.6786419819645,1.8200119963932648,797.5984801751894,2.7264614828212372,743.7588037887396,2.4116762740371707
T6-7 메커니즘이동/구속추세,103,770.4997684876505,1.965576915956597,797.4442404752124,2.163863403316173,743.5552965000885,3.2820215754858677
T8 아스널복잡도,100,770.8524469802667,2.4376077176268947,797.8575346989076,3.5598083005845487,743.8473592616258,3.330989403049212
트랙맨 전체,132,763.9510753375076,2.0697338216465617,791.2286362120523,2.915597506600082,736.673514462963,2.938449174203649
