name,nfeat,m24,m23,sec,d24,d23,both
현행 (고정 사전확률),124,872.8596891731222,781.7855899121984,173.95962047576904,0.0,0.0,False
시즌 인과 사전확률,124,865.6934458625921,784.3078336259413,172.31297135353088,-7.166243310530149,2.5222437137429097,False
