name,m24,m23
기준 현행,825.7693508543551,774.2174846231076
leaves7,821.1173893676427,800.6727268363156
leaves10,827.0887828946471,790.1894103785834
leaves21,820.0818871667014,760.1282497692985
leaves31,812.9109015928782,731.5156054090166
mcs3000,828.8928733972689,767.8211918251687
mcs12000,829.563840674774,783.1223017558787
mcs20000,832.9730465618246,786.0863617116354
leaves7+mcs12000,822.2649579036733,805.0408466795278
