name,m24,m23
기준 leaves15+ET,858.8721565222835,797.6652841448329
lambda200,860.2927098151247,792.9576918961678
lambda500,860.3905033423009,793.7301077620584
lambda200+n2400,859.746966278574,798.8271515156575
n2400/lr.005,858.7590238710807,795.549695982456
n4800/lr.0025,861.1418623313716,799.0345327211102
