fold,nseas,ntrain,xgb,ftt_solo,ep,gain_w0.2,gain_w0.3
2022,3,728588,701.5838457967383,447.3025360732685,11,-16.618680501390145,-31.51469290203488
2023,4,870752,779.6202246865946,262.17217822824824,23,-35.44230024469243,-66.05047578395192
2024,5,1116277,808.2942250699499,713.8285121397137,12,4.168131128534583,1.9081573120582789
