name,nfeat,n,lr,bss,mb
A V7 120피처,120,4000,0.004,867.7750662818618,7.478024482727051
B V7+G2 136피처,136,4000,0.004,867.4351757606447,7.490749359130859
C V10 163피처,163,4000,0.004,869.6712976107191,7.501706123352051
D n2000 lr0.005,163,2000,0.005,867.6915843994548,3.758246421813965
D n1200 lr0.008,163,1200,0.008,864.9366822801708,2.255908966064453
D n800 lr0.012,163,800,0.012,864.4656059437539,1.501683235168457
