tag,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,sdp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,sdp_2023,stage,k,target,how,i,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,max_bin
E_k25_league,765.0987092343909,776.4258857794526,798.7829728987706,811.5720857012842,0.4954723119735718,0.04099717363715172,753.7715326893291,695.5497152467905,760.9956156889641,0.49572065472602844,0.039577752351760864,E,25.0,league,,,,,,,,,,,
E_k25_career,761.4559509723617,774.0577524853354,798.8724489678134,811.6198062714352,0.49579060077667236,0.040951840579509735,748.854149459388,690.5369645845094,755.97690456215,0.4957537353038788,0.03959428891539574,E,25.0,career,,,,,,,,,,,
E_k50_league,767.6489591688207,781.9972623454796,802.2963998767008,815.0497222515929,0.49519187211990356,0.04104524478316307,753.3006559921618,696.1040384472539,761.5618598184715,0.4954220652580261,0.03946090489625931,E,50.0,league,,,,,,,,,,,
E_k50_career,761.0731452858898,770.5980111488375,793.3070374730678,806.018604349068,0.4955122768878937,0.04099734500050545,751.5482794229422,692.2476179020754,757.699478808771,0.49604639410972595,0.03954335302114487,E,50.0,career,,,,,,,,,,,
E_k100_league,763.667090160397,781.2754887218221,802.6543041528834,815.3479758150839,0.4953345060348511,0.04093126580119133,746.058691598972,688.0276090211024,753.4973513213639,0.4956548810005188,0.03915342316031456,E,100.0,league,,,,,,,,,,,
E_k100_career,755.1682916929869,767.97337979011,790.378187479579,803.0778242130499,0.4954705834388733,0.04094091057777405,742.3632035958639,682.5916653778186,748.0971704652006,0.4961812198162079,0.039271049201488495,E,100.0,career,,,,,,,,,,,
E_k150_league,756.5595540845904,782.098668557063,802.4216663733652,815.1332332493655,0.4951920807361603,0.040792085230350494,731.0204396121178,673.1979732924942,738.7452016315299,0.4955686032772064,0.03895480930805206,E,150.0,league,,,,,,,,,,,
E_k150_career,749.6336157215899,766.9772128880536,789.8592262791104,802.5707931551107,0.4955374002456665,0.04088883846998215,732.2900185551262,671.3025455747701,736.8140111266741,0.49659886956214905,0.03934742137789726,E,150.0,career,,,,,,,,,,,
E_k300_league,745.9093665210747,769.6734251020132,793.8021383884663,806.4838799081153,0.4956969916820526,0.040159836411476135,722.1453079401363,664.0605811815803,729.5958885915721,0.49564504623413086,0.03855733200907707,E,300.0,league,,,,,,,,,,,
E_k300_career,737.772905991324,760.8510846939365,782.6235948288019,795.3172664910024,0.49538737535476685,0.04044518992304802,714.6947272887116,652.7893427720977,718.3067687885236,0.4969481825828552,0.03901579976081848,E,300.0,career,,,,,,,,,,,
E_k600_league,732.0481055494488,761.435661678378,784.5622429915045,797.2320543686129,0.4955637753009796,0.039823148399591446,702.6605494205196,642.1797159244625,707.7686675151407,0.49638351798057556,0.038063324987888336,E,600.0,league,,,,,,,,,,,
E_k600_career,725.2212108042277,755.8344597560107,778.269092801831,790.9687295352908,0.49547532200813293,0.040080681443214417,694.6079618524448,631.6535355801122,697.188842990104,0.4974125921726227,0.03896595910191536,E,600.0,career,,,,,,,,,,,
E_k1200_league,718.9126092809306,749.5413095663483,773.7416037080336,786.435275370223,0.49570345878601074,0.039340924471616745,688.2839089955129,626.3844849434208,691.9197923534126,0.4969359040260315,0.03768397495150566,E,1200.0,league,,,,,,,,,,,
E_k1200_career,715.6017693296269,750.0543056955466,769.0411275474096,781.7705896372207,0.49500414729118347,0.03933672979474068,681.149232963707,617.6464439554219,683.1579095073259,0.4977152943611145,0.038959044963121414,E,1200.0,career,,,,,,,,,,,
E_k100_career_raw,772.4286873880603,780.5358198843649,803.0301036428878,815.7595657326988,0.49548816680908203,0.04158743843436241,764.3215548917559,706.7196257594111,772.1714866661067,0.4955447316169739,0.03991589695215225,E,100.0,career_raw,,,,,,,,,,,
E_k300_career_raw,769.5151554666379,775.7577977972385,798.9619250368673,811.6913871266785,0.4955800771713257,0.04168032854795456,763.2725131360373,703.9539702216047,769.3879497347344,0.49606096744537354,0.03998629376292229,E,300.0,career_raw,,,,,,,,,,,
F_제외(기준),756.5595540845904,782.098668557063,802.4216663733652,815.1332332493655,0.4951920807361603,0.040792085230350494,731.0204396121178,673.1979732924942,738.7452016315299,0.4955686032772064,0.03895480930805206,F,,,제외(기준),,,,,,,,,,
F_전부사용,371.4242498008002,742.8484996016005,787.192839421491,799.85072065607,0.49803924560546875,0.03966646268963814,0.0,0.0,0.0,0.5134286284446716,0.05566686764359474,F,,,전부사용,,,,,,,,,,
F_F전체제외,747.7819517110406,764.5434638099636,790.0858989873583,802.7915007920883,0.4958806037902832,0.04056801646947861,731.0204396121178,673.1979732924942,738.7452016315299,0.4955686032772064,0.03895480930805206,F,,,F전체제외,,,,,,,,,,
F_R만+최근F,756.5595540845904,782.098668557063,802.4216663733652,815.1332332493655,0.4951920807361603,0.040792085230350494,731.0204396121178,673.1979732924942,738.7452016315299,0.4955686032772064,0.03895480930805206,F,,,R만+최근F,,,,,,,,,,
F_체제플래그피처,756.1332495789941,781.7586594946802,802.737815150667,815.4255217415862,0.4952808618545532,0.040677618235349655,730.507839663308,672.7390175243709,738.2624040053076,0.4955626428127289,0.03885713219642639,F,,,flag,,,,,,,,,,
F_가중0.1,450.5693264632016,779.921417543572,807.2772343870049,819.9589759066539,0.4961121380329132,0.04044223204255104,121.21723538283113,88.48832469723345,148.96319772876865,0.5086689591407776,0.047727037221193314,F,,,weight0.1,,,,,,,,,,
