name,nfeat,m24,m23,sec,d24,d23,both
기준 v7 (120피처),120,867.5170830720225,766.0845181195918,375.2019748687744,0.0,0.0,False
정확카운트 shr30,124,869.205809661755,769.126555588584,398.9194059371948,1.6887265897324824,3.0420374689921346,True
정확카운트 shr100,124,870.251843706804,767.7000543186984,398.5007634162903,2.734760634781537,1.6155361991066002,True
정확카운트 shr300,124,872.5367558394814,767.9139828538406,397.99725556373596,5.019672767458928,1.8294647342487451,True
정확카운트 shr1000,124,870.3798835130838,766.4859100892319,396.6430790424347,2.8628004410612675,0.40139196964003077,True
정확카운트 all-shr,128,872.6147643935644,769.6774641463788,388.9424293041229,5.097681321541927,3.59294602678699,True
