name,nfeat,m24,m23,sec,d24,d23,both
현행 pbc (기준선 124),124,872.8596891731222,781.7855899121984,337.9980010986328,0.0,0.0,False
pbc2 3단계층 k=100/150/200,124,869.936341398958,786.204524279821,336.75142097473145,-2.923347774164199,4.418934367622683,False
pbc2 3단계층 k=100/400/200,124,867.9171996963108,784.3464610601369,337.8184320926666,-4.9424894768113745,2.560871147938542,False
pbc2 3단계층 k=200/150/200,124,870.5972662169326,786.3345875421146,287.5354702472687,-2.2624229561896527,4.548997629916244,False
