ci,name,lam,ann,emb,solo24,solo22,solo,best_w,gain
2,L2 lam=1.0,1.0,False,0,640.9488288021792,0.0,320.4744144010896,0.15,-1.7719060888044282
3,L3 lam=1.0 anneal,1.0,True,0,484.50974417115765,0.0,242.25487208557882,0.15,3.340638219501102
