arch,seed,solo24,solo22
L3,0,484.50974417115765,0.0
L1,0,649.0942753280438,0.0
L5,0,562.8097868732751,308.57112646440754
L3,1,622.8511492956002,253.11194304080686
L1,1,584.0499629531481,425.3012628556707
L5,1,691.3420708153927,47.148791188322825
