fold,baseline,corrected,delta,pearson,spearman,mapped,train_n
2023,774.0625724893202,707.9205808621869,-66.1419916271334,-0.0013211325797945505,0.014951667180088715,0.857150005231101,533189
2024,854.1167241971403,775.0874587547974,-79.02926544234299,0.0007269661441164473,-0.009763103139860911,0.8028608885130449,743532
