shard,ci,avg,raw_2024,trend_2024,oracle_2024,sdp_2024,raw_2022,trend_2022,oracle_2022,sdp_2022,arch,k,h,L,emb,drop,plr,film,lr,wd,bs,d,heads
0,0,400.86928357089266,507.7713744034984,595.9878721367385,597.8781404739952,0.048892345279455185,293.967192738287,327.35357347297713,349.87343535758384,0.04718106985092163,TabM,8.0,128.0,3.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,1,439.0276845607277,703.655648469792,760.6678111592213,762.349374790472,0.04629833251237869,174.39972065166342,226.1334107777846,248.85593949777186,0.051765359938144684,TabM,8.0,512.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,2,453.00530195252486,636.7508827156421,693.4589328334683,695.2657192883182,0.047432415187358856,269.2597211894077,257.4871623693742,279.45863164058335,0.05449952930212021,TabM,8.0,512.0,2.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,3,389.0281415381613,507.5865216638942,565.004167782146,566.739398337801,0.05130743235349655,270.4697614124285,251.35351020439956,273.3786265791016,0.051970288157463074,TabM,64.0,128.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,4,438.9878925691204,552.7323310689502,589.9831395953403,591.7183701509954,0.05644562467932701,325.2434540692906,349.3131211656397,371.64223779341256,0.054068539291620255,Hier,,64.0,,,0.1,,,0.001,0.001,16384,,
0,5,552.5884195397124,664.6517204129343,678.4858609253819,680.2032025062355,0.05174397677183151,440.52511866649047,418.98878701241983,441.40135469006304,0.052201420068740845,Hier,,256.0,,,0.1,,,0.001,0.01,16384,,
0,6,171.45792396680014,241.72654116936255,280.37268973020167,282.1854391766632,0.06963297724723816,101.18930676423776,192.3655395294266,214.10453801887775,0.056631218641996384,TabM,64.0,512.0,2.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,7,115.16651625587681,221.828038199523,528.8803646681828,530.4128535094321,0.0553787499666214,8.504994312230618,131.97082258533666,153.51907581795388,0.05614534765481949,TabM,32.0,512.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,8,499.14537445419626,543.0722846766378,639.8695273225452,641.700165743797,0.04778239503502846,455.2184642317547,435.2378985787109,457.54317204937945,0.046310316771268845,TabM,32.0,256.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,9,344.37910739090194,557.4013534918931,618.6233882510605,620.3228408571126,0.04950249195098877,131.35686128991074,153.3462129289509,175.1090545755063,0.056986983865499496,TabM,64.0,256.0,3.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,10,537.2580664571858,539.8522692125374,742.7311324258445,744.4782889647006,0.04283322021365166,534.6638637018342,529.6806438671254,551.9263094450389,0.044570423662662506,FTT,,,4.0,,0.1,,,0.001,0.0001,8192,32.0,4.0
0,11,128.87055113947054,174.3864770283987,347.5517530979633,348.94113014080074,0.05959055945277214,83.35462525054238,107.34084129703226,129.33615372535678,0.054323840886354446,TabM,8.0,256.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,12,302.1382152305019,604.2764304610038,704.0432429238019,705.8202144206605,0.05283188447356224,0.0,47.50047775560206,70.10379069006811,0.0540548674762249,TabM,32.0,256.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,13,264.59522011569317,529.1904402313863,626.3991292977056,628.0806929289673,0.054313234984874725,0.0,0.0,0.0,0.06484147161245346,TabM,32.0,128.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,14,141.5608144289482,283.1216288578964,523.7939328332164,525.2787177416618,0.05754471570253372,0.0,0.0,0.0,0.06129642203450203,TabM,8.0,256.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,15,409.5935025643149,527.1809120621307,603.2507959057631,605.1589532178325,0.0492430254817009,292.00609306649915,333.73161799826744,356.1799504115615,0.04668689891695976,TabM,8.0,128.0,3.0,0.0,0.1,False,True,0.002,0.01,16384,,
0,16,334.41604493201214,494.9926834042939,626.1784986085095,627.9375811305554,0.05317702144384384,173.83940645973038,160.356101117487,182.0712564498339,0.05831439048051834,TabM,32.0,256.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,17,53.437819011664665,67.13014711575704,206.79533637544267,208.82275351951085,0.06194091960787773,39.74549090757229,58.98691869039574,80.54709350155953,0.05899931117892265,TabM,64.0,256.0,2.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,18,507.7947198006361,625.069382170873,725.1939741296786,726.857648786139,0.04323000833392143,390.5200574303991,368.262470273939,390.9551950475487,0.051052190363407135,TabM,8.0,512.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,19,365.9776686059601,603.8769100237928,682.9819565919327,684.6277422735802,0.05234729126095772,128.07842718812745,152.86338899759278,174.4950932800804,0.05842790752649307,TabM,64.0,256.0,2.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,20,346.7269091242009,537.2047009420511,658.7781736867471,660.656516040814,0.05060812830924988,156.2491173063507,136.02415929299116,158.4248053920767,0.05980436131358147,TabM,32.0,256.0,3.0,0.0,0.1,False,True,0.002,0.001,16384,,
0,22,400.9266656711752,640.9726807685812,730.0776642502393,731.7473018982889,0.04832638427615166,160.8806505737692,196.40695465853452,218.89105180747936,0.052186690270900726,TabM,8.0,256.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,23,104.50460799106276,200.07504484202966,331.66634347505664,333.08553547589656,0.06469440460205078,8.93417114009587,44.66314206024169,66.3842581818619,0.06473737955093384,TabM,64.0,256.0,3.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,24,319.9167534169656,545.1891466947023,675.4864761504887,677.2932626053496,0.05050886794924736,94.64436013922884,176.6230950515979,198.35613275177576,0.05320626124739647,TabM,32.0,512.0,2.0,0.0,0.1,True,True,0.002,0.0001,16384,,
0,25,478.1609196891967,529.6615165678031,600.7165244756862,602.4577180229418,0.048740942031145096,426.6603228105903,431.1666795032254,453.4242666596855,0.0439179427921772,TabM,32.0,512.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,26,322.2537000929171,433.93164941832873,590.245511225751,591.9509268234035,0.055715400725603104,210.57575076750544,221.34689698918297,243.86079808450535,0.052882567048072815,TabM,64.0,128.0,3.0,0.0,0.1,True,True,0.002,0.01,16384,,
0,27,376.42634308499566,600.6867095176838,630.8892619726558,632.6602704779139,0.05127371475100517,152.16597665230756,188.68773254615556,211.451986791078,0.05228529870510101,TabM,8.0,128.0,2.0,0.0,0.1,True,True,0.002,0.001,16384,,
0,28,512.1348985606844,693.5483777074647,754.7823384498331,756.7322367030948,0.05227988585829735,330.7214194139041,317.5123103783539,340.03217226296067,0.05135941877961159,FTT,,,2.0,,0.1,,,0.001,0.001,8192,32.0,4.0
0,29,399.2382538590689,519.8285434190875,594.6581250098948,596.5543563387521,0.04935579001903534,278.6479642990503,324.4387475170307,346.815550459012,0.04640212282538414,TabM,8.0,128.0,3.0,0.0,0.1,False,True,0.002,0.0001,16384,,
0,30,519.3900007215591,585.0219305839844,736.9052896324613,738.7120760873112,0.045068904757499695,453.7580708591338,437.86064586013305,460.0467035452804,0.05284082144498825,FTT,,,3.0,,0.1,,,0.001,0.001,8192,32.0,4.0
0,31,471.3650919153323,704.3354295122151,737.0305124560606,738.7478540369141,0.053034260869026184,238.3947543184495,380.9768337995845,403.31191121663056,0.04466334730386734,FTT,,,3.0,,0.1,,,0.001,0.0001,8192,64.0,4.0
0,32,435.3651098456035,624.7473806244575,658.5277280395374,660.1794767127966,0.0533900111913681,245.98283906674956,306.1987323325743,329.1656534128773,0.05409304052591324,Hier,,128.0,,,0.1,,,0.003,0.0001,16384,,
0,33,366.7021969609108,589.3212475277187,644.4312158966903,646.4705590239595,0.05341809242963791,144.0831463941028,252.3966483276907,274.05219576728257,0.05396782606840134,TabM,64.0,512.0,2.0,0.0,0.1,False,True,0.002,0.01,16384,,
