shard,ci,solo24,solo22,solo,best_w,gain,iset,k,h,L,plr,emb,wd,lr,drop
1,0,353.8307832529619,0.0,176.91539162648095,0.15,-34.36694974153778,A_raw,64,128,2,True,4,0.01,0.002,0.1
1,1,268.5600033702218,0.0,134.2800016851109,0.15,-27.08874675190765,A_raw,64,128,2,True,0,0.01,0.002,0.1
1,2,405.1840669138107,0.0,202.59203345690534,0.15,-0.35162049755177804,C_full,64,256,2,True,0,0.001,0.002,0.1
1,3,460.472925030786,0.0,230.236462515393,0.15,-24.38108827965692,A_raw,32,128,2,True,0,0.001,0.002,0.1
1,4,542.2792067938165,31.78187643487762,287.03054161434704,0.15,3.475520048823455,C_full,8,512,2,False,4,0.01,0.002,0.1
1,5,238.48267373886011,0.0,119.24133686943006,0.15,-23.71014976776388,A_raw,32,128,2,False,0,0.01,0.002,0.1
1,6,577.7351548485466,105.15919242203297,341.4471736352898,0.15,-1.9819580296065737,C_full,8,512,2,False,0,0.01,0.002,0.1
1,7,618.6591662006635,0.0,309.3295831003318,0.15,-1.5690690868264028,C_full,8,128,2,True,0,0.001,0.002,0.1
1,8,0.0,0.0,0.0,0.15,-31.382555484005252,A_raw,32,256,2,True,0,0.01,0.002,0.1
1,9,623.0300390436039,261.34379303092146,442.1869160372627,0.15,-5.33762912469092,C_full,64,256,2,False,0,0.001,0.002,0.1
1,10,506.5131831758607,112.86649295585427,309.6898380658575,0.15,-1.2490518345398414,C_full,64,128,2,False,4,0.001,0.002,0.1
1,11,230.3730051625985,0.0,115.18650258129925,0.15,-25.436554310326358,A_raw,32,512,2,False,4,0.001,0.002,0.1
1,12,364.4866492425014,0.0,182.2433246212507,0.15,-16.72641847669246,A_raw,64,128,2,False,0,0.001,0.002,0.1
1,13,635.099134042394,221.68666197791563,428.3928980101548,0.15,3.1397716482750866,C_full,8,512,2,False,0,0.001,0.002,0.1
1,14,222.97889557836294,0.0,111.48944778918147,0.15,-27.910140261139247,A_raw,8,128,2,False,4,0.01,0.002,0.1
1,15,368.25525993382513,128.28705481278124,248.2711573733032,0.15,-17.036954776866764,B_raw_d,8,256,2,True,4,0.01,0.002,0.1
1,16,488.4870595684876,115.97802495790788,302.23254226319773,0.15,-1.9733725210525108,C_full,64,128,2,False,4,0.01,0.002,0.1
1,17,515.2966698029448,0.0,257.6483349014724,0.15,1.0406290260445417,C_full,8,512,2,True,4,0.001,0.002,0.1
1,18,646.5242259483528,128.012858506088,387.2685422272204,0.15,1.1867245225727174,C_full,32,512,2,False,0,0.001,0.002,0.1
1,19,526.7217617089149,0.0,263.36088085445743,0.15,4.751554002452281,C_full,8,256,2,True,0,0.001,0.002,0.1
1,20,377.241488275315,0.0,188.6207441376575,0.15,-5.350101284296045,C_full,32,128,2,True,4,0.001,0.002,0.1
1,21,479.0714958317843,224.851841083451,351.96166845761763,0.15,5.376016828506636,C_full,64,512,2,True,4,0.01,0.002,0.1
1,22,351.5529204616952,315.8075246454284,333.68022255356175,0.15,-14.123664490861529,B_raw_d,8,256,2,True,0,0.001,0.002,0.1
1,23,500.7946742312752,206.61182589899462,353.7032500651349,0.15,-2.0480794950206587,B_raw_d,32,256,2,False,4,0.01,0.002,0.1
1,24,564.568869395321,441.65170783965203,503.1102886174865,0.15,-9.043562334481976,B_raw_d,32,256,2,False,0,0.001,0.002,0.1
1,25,658.3607642747347,79.62913195306287,368.9949481138988,0.15,9.405204255991123,C_full,32,256,2,True,0,0.001,0.002,0.1
