stage,name,solo24,solo22,solo,best_w,gain,nfeat,val,score
A,LGB 기본,817.1135845463251,696.9772938340446,757.0454391901849,0.5,10.873998856991705,,,
A,LGB 범주형네이티브,568.2059256881033,459.49081503974253,513.8483703639229,0.2,-4.41480541943929,,,
A,LGB 얕은,588.3808063075758,513.7822020828464,551.0815041952111,0.2,-1.1176237052046645,,,
C,NN 트랙맨없음,642.3859097778206,195.20883601407135,418.797372895946,0.15,5.243820146483245,89.0,,
C,NN 트랙맨포함,428.35625227215513,196.1387191411146,312.24748570663485,0.15,5.909712284857221,105.0,,
B,스태킹,,,,,10.88245967035823,,2024.0,820.8403593967572
B,스태킹,,,,,1.3948246905814585,,2022.0,702.1143560423048
