ci,name,lam,ann,emb,solo24,solo22,solo,best_w,gain
0,L0 단일태스크(대조),0.0,False,0,487.7297596352581,93.42835912693471,290.5790593810964,0.15,-5.289166886723933
1,L1 lam=0.3,0.3,False,0,649.0942753280438,0.0,324.5471376640219,0.15,0.48058556637028005
