name,nfeat,m24,m23,sec,d24,d23,both
기준 v16,124,872.8936406214304,780.7919814404207,268.8677108287811,0.0,0.0,False
+ball,126,874.342674354156,780.8519860507457,271.6751244068146,1.4490337327255247,0.060004610324995156,True
+reverse,126,878.2380825721136,778.8496629823616,270.72022676467896,5.344441950683176,-1.9423184580591624,False
+strike,126,873.9913363279505,775.7808195116068,270.3767237663269,1.097695706520085,-5.011161928813976,False
+middle,126,873.058820400785,778.4144209915689,271.9223680496216,0.1651797793545029,-2.3775604488517956,False
+ball+reverse,128,878.614196530747,779.2221254429021,272.84333086013794,5.720555909316545,-1.56985599751863,False
+성분4종,132,879.3033857940391,770.2794174283434,271.6453421115875,6.409745172608609,-10.512564012077291,False
