start,nseas,ntrain,xgb,ftt_solo,gain_w0.2,gain_w0.3
2021,3,683776,802.5578271505628,537.5982583876615,17.41193547255557,12.772728007615115
2020,4,904650,816.4635235622164,617.1803442838186,28.443469932903895,29.71358714375367
2019,5,1116277,808.2942250699499,713.8285121397137,4.168131128534583,1.9081573120582789
