arch,seed,solo24,solo22
L3,2,729.8749225358337,163.11594655226136
L1,2,655.5820101890486,288.7574629110934
L5,2,0.0,77.4474830780636
L3,3,329.0724421289637,468.1295338034963
L1,3,217.47505433138414,515.2018867158104
L5,3,545.5707781571117,397.4107298334251
