cfg,reverse_2024,middle_2024,ball_2024,strike_2024,reverse_2023,middle_2023,ball_2023,strike_2023
C0 옛설정 d6/mcw1500/n600,1430.8064595368264,887.0054650999326,1778.0885401502578,1210.498704212659,1473.5419425391249,518.834500453258,2145.008137517768,1558.1056708683373
C1 중간 d8/mcw3000/n1200,1485.2459909724946,945.4137873322277,1812.195193247912,1197.6461177230835,1466.3349284923077,532.160774529955,2250.344857920805,1633.403982351278
