name,nfeat,m24,m23,sec,d24,d23,both
기준 현행 성분OOF,120,867.5170830720225,766.0845181195918,172.52808451652527,0.0,0.0,False
성분OOF=C1,120,867.4265172944229,760.7068306093034,165.76753640174866,-0.09056577759963602,-5.3776875102884105,False
성분OOF=C2,120,866.013827968859,752.678464921952,165.12312746047974,-1.5032551031634966,-13.406053197639835,False
