shard,ci,solo,solo24,solo22,best_w,gain,ep,arch,d,L,heads,drop,wd,lr,bs,g,h
1,0,587.2078128877356,708.3544858507373,466.0611399247339,0.15,7.089036149304775,22,FTT,32,1.0,4.0,0.1,0.001,0.001,4096,,
1,1,521.3619565518524,676.0887383021053,366.6351748015995,0.05,-1.281371485151169,35,FTTLite,32,3.0,4.0,0.1,0.01,0.001,8192,16.0,
1,2,612.0751019654314,799.1052550140543,425.04494891680844,0.3,22.241011470536193,15,FTT,64,2.0,4.0,0.1,0.001,0.001,4096,,
1,3,420.1823950950756,670.0005238783114,170.36426631183988,0.05,-1.5168413813049142,37,FTTLite,64,2.0,4.0,0.1,0.001,0.001,8192,16.0,
1,4,427.5676861755895,701.5924533761208,153.54291897505811,0.05,-1.8418695711619648,40,FTTLite,32,2.0,4.0,0.1,0.01,0.001,8192,16.0,
1,5,341.5225830970092,501.90975366051214,181.1354125335063,0.05,1.7143369606564534,26,FTTLite,48,3.0,4.0,0.1,0.01,0.001,8192,8.0,
1,6,447.8833161550732,643.8587687030761,251.9078636070704,0.05,-0.49175740712837523,20,FTTLite,64,2.0,4.0,0.1,0.001,0.001,8192,8.0,
1,7,431.9187264926028,699.77374093807,164.06371204713554,0.05,-1.7762931809883753,40,FTTLite,32,2.0,4.0,0.1,0.001,0.001,8192,16.0,
1,8,501.4669337054911,671.2766040807505,331.65726333023173,0.05,1.0644039110940753,20,AFN,8,,,0.1,0.001,0.002,16384,,128.0
1,9,513.7880977168719,753.1246267849734,274.4515686487703,0.05,-0.3928846355582891,20,FTT,16,3.0,4.0,0.1,0.001,0.001,4096,,
1,10,439.0892925614121,649.9290941520686,228.24949097075552,0.05,-1.013210846756408,17,FTTLite,64,3.0,4.0,0.1,0.01,0.001,8192,8.0,
1,11,412.7466440717486,591.1101450077782,234.38314313571905,0.05,0.07463760075540904,20,AFN,16,,,0.1,0.01,0.002,16384,,128.0
1,12,427.4737331439016,677.0010760169365,177.9463902708667,0.05,-1.281353866555719,37,FTTLite,64,2.0,4.0,0.1,0.01,0.001,8192,16.0,
1,13,410.72564580039716,589.5359152253254,231.9153763754689,0.05,0.05079224132953186,20,AFN,16,,,0.1,0.001,0.002,16384,,128.0
1,14,484.14866896959177,724.0729317088412,244.22440623034225,0.05,1.076899195107103,26,FTT,32,2.0,4.0,0.1,0.001,0.001,4096,,
1,15,461.43019287003267,600.7642284084902,322.09615733157506,0.05,1.3716389272555602,20,AFN,8,,,0.1,0.01,0.002,16384,,64.0
1,16,409.60968964735554,614.8368885849353,204.38249070977577,0.1,2.276374471299448,26,FTT,32,2.0,4.0,0.1,0.01,0.001,4096,,
1,17,519.5729781820924,575.2366613680726,463.9092949961121,0.05,-2.2447117632662525,19,FTT,32,3.0,4.0,0.1,0.01,0.001,4096,,
1,18,321.2792123532149,434.48024464555203,208.07818006087774,0.05,-3.1631115742891893,12,AFN,32,,,0.1,0.01,0.002,16384,,64.0
1,19,404.65751852342134,637.7168873548777,171.59814969196498,0.05,-0.7270621289634391,40,FTTLite,32,2.0,4.0,0.1,0.001,0.001,8192,8.0,
1,20,475.4915553756456,616.1487467369775,334.8343640143137,0.05,1.0139376137530576,12,AFN,16,,,0.1,0.001,0.002,16384,,64.0
1,21,523.8693504732495,680.865094573857,366.87360637264186,0.05,-1.7166731754502962,35,FTTLite,32,3.0,4.0,0.1,0.001,0.001,8192,16.0,
1,22,380.3968154097614,555.4454922470309,205.34813857249202,0.05,1.3324180949347806,13,AFN,32,,,0.1,0.01,0.002,16384,,128.0
1,23,422.69212723483054,703.5781295789856,141.80612489067545,0.05,-0.33048244455488884,40,FTTLite,48,3.0,4.0,0.1,0.01,0.001,8192,16.0,
1,24,373.9841633251084,674.6874352760557,73.28089137416116,0.05,-0.7149478470469717,34,FTTLite,64,3.0,4.0,0.1,0.001,0.001,8192,16.0,
1,25,643.1806287013509,762.2122259836717,524.14903141903,0.1,1.2022971034919578,25,FTT,16,1.0,4.0,0.1,0.01,0.001,4096,,
1,26,527.1338871141285,734.7228347067913,319.54493952146555,0.05,1.3212662286987893,31,FTTLite,48,2.0,4.0,0.1,0.001,0.001,8192,16.0,
