ci,name,lam,ann,emb,solo24,solo22,solo,best_w,gain
4,L4 단일+emb8(대조),0.0,False,8,578.8383082945825,0.0,289.41915414729124,0.15,-6.671634969407421
5,L5 lam=1.0 +emb8,1.0,False,8,534.9447271255747,0.0,267.47236356278734,0.15,1.8836113344577257
